feature_name,max_value,min_value
id_invicrot1_area_right_cerebellum_white_matterdktregions,6126.985,1398.8531
id_invicrot1_vol_right_hippocampusdktregions,7581.094,477.00244
id_invicrot1_area_mtg_vtr_vta_leftcit168,132.38928,35.620094
id_invicrot1_area_left_lateral_occipitaldktcortex,14243.982,4464.3013
id_invicrot1_area_left_superior_parietaldktregions,14107.828,5113.8535
id_invicrot1_vol_right_posterior_cingulatedktregions,6116.9653,1716.0079
id_invicrot1_area_bn_gp_gpe_rightdeep_cit168,1711.3512,163.85612
id_invicrot1_vol_mtg_sn_snr_leftcit168,444.00107,126.0
id_invicrot1_vol_left_inferior_temporaldktcortex,18696.02,3593.3206
id_invicrot1_randbasisproj01,395.2244,-390.3531
id_invicrot1_thk_right_insuladktcortex,2.0452862,0.58831394
id_invicrot1_area_occipital_rdktlobes,29902.98,8918.245
id_invicrot1_area_right_pars_opercularisdktregions,5862.162,1749.2406
id_invicrot1_vol_corticospinal_rwmtracts_right,34480.816,14460.975
id_invicrot1_area_right_parahippocampaldktregions,2278.6096,519.8315
id_invicrot1_area_left_middle_temporaldktcortex,14336.811,3875.5627
id_invicrot1_thk_left_putamendktregions,2.6674368,1.2661712
id_invicrot1_area_right_caudal_anterior_cingulatedktregions,3342.0125,689.7473
id_invicrot1_vol_left_precuneusdktcortex,15886.03,2904.6094
id_invicrot1_area_right_caudal_middle_frontaldktcortex,8123.783,1721.9014
id_invicrot1_area_right_pars_triangularisdktregions,6212.3677,1031.8795
id_invicrot1_vol_right_inferior_temporaldktcortex,21011.0,4173.797
id_invicrot1_vol_right_transverse_temporaldktcortex,1900.0,63.599995
id_invicrot1_vol_temporal_rdktlobes,173853.94,57208.363
id_invicrot1_thk_inferior_longitudinal_fasciculus_rwmtracts_right,2.050277,1.3281726
id_invicrot1_area_right_dg_ca3mtl,1024.4312,3.10043
id_invicrot1_thk_4th_ventricledktregions,2.3798697,0.62234414
id_invicrot1_vol_left_inferior_parietaldktcortex,20170.04,3390.5713
id_invicrot1_thk_left_insuladktregions,2.1068895,1.1475776
id_invicrot1_area_left_subiculummtl,1159.5052,8.241944
id_invicrot1_vol_right_isthmus_cingulatedktcortex,4304.023,530.987
id_invicrot1_vol_left_inferior_temporaldktregions,22900.0,6216.3286
id_invicrot1_thk_mtg_vtr_pbp_leftcit168,0.7404589,0.42057317
id_invicrot1_thk_right_lingualdktregions,1.5595378,0.9656564
id_invicrot1_area_left_ca1mtl,2344.6443,33.973087
id_invicrot1_thk_left_entorhinaldktcortex,2.4554002,0.70723385
id_invicrot1_vol_die_hth_mn_leftcit168,182.00005,22.999989
id_invicrot1_thk_exa_rightcit168,1.075083,0.6453325
id_invicrot1_randbasisprojpos05,9555.21,-55236.258
id_invicrot1_vol_bn_str_pu_rightcit168,9731.0,2689.013
id_invicrot1_randbasisprojpos01,9452.424,-55334.242
id_invicrot1_area_nbm_left_posbf,328.14777,38.442146
id_invicrot1_randbasisprojpos08,9755.303,-55452.867
id_invicrot1_thk_right_middle_temporaldktregions,2.0850968,1.2205151
id_invicrot1_vol_right_lateral_occipitaldktregions,23464.928,7155.0
id_invicrot1_area_mtg_sn_snc_leftdeep_cit168,287.93066,17.056955
id_invicrot1_thk_left_superior_temporaldktcortex,1.5990263,0.6085055
id_invicrot1_vol_left_lingualdktregions,10857.0,2997.0154
id_invicrot1_area_right_rostral_anterior_cingulatedktcortex,3787.4944,614.9616
id_invicrot1_vol_left_lateral_occipitaldktcortex,18590.895,2953.0
id_invicrot1_thk_left_pars_opercularisdktregions,1.6122203,0.9128047
id_invicrot1_area_right_ca1mtl,2310.6538,3.10043
